step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/epoch_step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/epoch_timestamp,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/epoch_step,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/epoch_timestamp,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/epoch_step,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/epoch_timestamp
5,0.05925925925925926,1779249005000,0.05925925925925926,1779248046000,0.05925925925925926,1779247096000
10,0.11851851851851852,1779249020000,0.11851851851851852,1779248061000,0.11851851851851852,1779247112000
15,0.17777777777777778,1779249035000,0.17777777777777778,1779248075000,0.17777777777777778,1779247128000
20,0.23703703703703705,1779249051000,0.23703703703703705,1779248091000,0.23703703703703705,1779247143000
25,0.2962962962962963,1779249067000,0.2962962962962963,1779248106000,0.2962962962962963,1779247160000
30,0.35555555555555557,1779249083000,0.35555555555555557,1779248121000,0.35555555555555557,1779247174000
35,0.4148148148148148,1779249101000,0.4148148148148148,1779248137000,0.4148148148148148,1779247190000
40,0.4740740740740741,1779249118000,0.4740740740740741,1779248153000,0.4740740740740741,1779247206000
45,0.5333333333333333,1779249134000,0.5333333333333333,1779248170000,0.5333333333333333,1779247224000
50,0.5925925925925926,1779249152000,0.5925925925925926,1779248186000,0.5925925925925926,1779247239000
55,0.6518518518518519,1779249170000,0.6518518518518519,1779248202000,0.6518518518518519,1779247256000
60,0.7111111111111111,1779249187000,0.7111111111111111,1779248218000,0.7111111111111111,1779247274000
65,0.7703703703703704,1779249202000,0.7703703703703704,1779248234000,0.7703703703703704,1779247290000
70,0.8296296296296296,1779249219000,0.8296296296296296,1779248248000,0.8296296296296296,1779247304000
75,0.8888888888888888,1779249234000,0.8888888888888888,1779248263000,0.8888888888888888,1779247321000
80,0.9481481481481482,1779249250000,0.9481481481481482,1779248278000,0.9481481481481482,1779247337000
85,1,1779249263000,1,1779248291000,1,1779247350000
90,1.0592592592592591,1779249278000,1.0592592592592591,1779248307000,1.0592592592592591,1779247365000
95,1.1185185185185185,1779249294000,1.1185185185185185,1779248322000,1.1185185185185185,1779247384000
100,1.1777777777777778,1779249309000,1.1777777777777778,1779248338000,1.1777777777777778,1779247401000
105,1.237037037037037,1779249336000,1.237037037037037,1779248361000,1.237037037037037,1779247425000
110,1.2962962962962965,1779249352000,1.2962962962962965,1779248377000,1.2962962962962965,1779247442000
115,1.3555555555555556,1779249368000,1.3555555555555556,1779248393000,1.3555555555555556,1779247458000
120,1.4148148148148147,1779249385000,1.4148148148148147,1779248408000,1.4148148148148147,1779247474000
125,1.4740740740740739,1779249400000,1.4740740740740739,1779248425000,1.4740740740740739,1779247489000
130,1.5333333333333332,1779249417000,1.5333333333333332,1779248440000,1.5333333333333332,1779247504000
135,1.5925925925925926,1779249434000,1.5925925925925926,1779248454000,1.5925925925925926,1779247518000
140,1.651851851851852,1779249450000,1.651851851851852,1779248469000,1.651851851851852,1779247535000
145,1.7111111111111112,1779249465000,1.7111111111111112,1779248483000,1.7111111111111112,1779247550000
150,1.7703703703703704,1779249482000,1.7703703703703704,1779248501000,1.7703703703703704,1779247565000
155,1.8296296296296295,1779249498000,1.8296296296296295,1779248517000,1.8296296296296295,1779247581000
160,1.8888888888888888,1779249514000,1.8888888888888888,1779248532000,1.8888888888888888,1779247597000
165,1.948148148148148,1779249530000,1.948148148148148,1779248547000,1.948148148148148,1779247612000
170,2,1779249545000,2,1779248560000,2,1779247624000
175,2.0592592592592593,1779249560000,2.0592592592592593,1779248577000,2.0592592592592593,1779247642000
180,2.1185185185185187,1779249576000,2.1185185185185187,1779248593000,2.1185185185185187,1779247656000
185,2.1777777777777776,1779249592000,2.1777777777777776,1779248610000,2.1777777777777776,1779247671000
190,2.237037037037037,1779249608000,2.237037037037037,1779248625000,2.237037037037037,1779247687000
195,2.2962962962962963,1779249624000,2.2962962962962963,1779248640000,2.2962962962962963,1779247703000
200,2.3555555555555556,1779249641000,2.3555555555555556,1779248656000,2.3555555555555556,1779247718000
205,2.414814814814815,1779249667000,2.414814814814815,1779248680000,2.414814814814815,1779247741000
210,2.474074074074074,1779249684000,2.474074074074074,1779248695000,2.474074074074074,1779247760000
215,2.533333333333333,1779249700000,2.533333333333333,1779248710000,2.533333333333333,1779247776000
220,2.592592592592593,1779249716000,2.592592592592593,1779248729000,2.592592592592593,1779247792000
225,2.651851851851852,1779249733000,2.651851851851852,1779248747000,2.651851851851852,1779247808000
230,2.7111111111111112,1779249749000,2.7111111111111112,1779248764000,2.7111111111111112,1779247825000
235,2.7703703703703706,1779249765000,2.7703703703703706,1779248781000,2.7703703703703706,1779247842000
240,2.8296296296296295,1779249780000,2.8296296296296295,1779248796000,2.8296296296296295,1779247859000
245,2.888888888888889,1779249796000,2.888888888888889,1779248812000,2.888888888888889,1779247877000
250,2.9481481481481477,1779249812000,2.9481481481481477,1779248828000,2.9481481481481477,1779247894000
255,3,1779249826000,3,1779248842000,3,1779247907000
