step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/num_input_tokens_seen_step,Qwen3_0.6B_Ltr_SFT_r32_a32_d0-train/num_input_tokens_seen_timestamp,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/num_input_tokens_seen_step,Qwen3_0.6B_Ltr_SFT_r16_a16_d0-train/num_input_tokens_seen_timestamp,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/num_input_tokens_seen_step,Qwen3_0.6B_Ltr_SFT_r8_a8_d0-train/num_input_tokens_seen_timestamp
5,10624,1779249005000,10624,1779248046000,10624,1779247096000
10,22320,1779249020000,22320,1779248061000,22320,1779247112000
15,33616,1779249035000,33616,1779248075000,33616,1779247128000
20,45440,1779249051000,45440,1779248091000,45440,1779247143000
25,55712,1779249067000,55712,1779248106000,55712,1779247160000
30,66320,1779249083000,66320,1779248121000,66320,1779247174000
35,77872,1779249101000,77872,1779248137000,77872,1779247190000
40,88928,1779249118000,88928,1779248153000,88928,1779247206000
45,100864,1779249134000,100864,1779248170000,100864,1779247224000
50,111904,1779249152000,111904,1779248186000,111904,1779247239000
55,123600,1779249170000,123600,1779248202000,123600,1779247256000
60,134624,1779249187000,134624,1779248218000,134624,1779247274000
65,145264,1779249202000,145264,1779248234000,145264,1779247290000
70,157952,1779249219000,157952,1779248248000,157952,1779247304000
75,169520,1779249234000,169520,1779248263000,169520,1779247321000
80,180560,1779249250000,180560,1779248278000,180560,1779247337000
85,190448,1779249263000,190448,1779248291000,190448,1779247350000
90,202080,1779249278000,202080,1779248307000,202080,1779247365000
95,213456,1779249294000,213456,1779248322000,213456,1779247384000
100,224688,1779249309000,224688,1779248338000,224688,1779247401000
105,236736,1779249336000,236736,1779248361000,236736,1779247425000
110,247696,1779249352000,247696,1779248377000,247696,1779247442000
115,259520,1779249368000,259520,1779248393000,259520,1779247458000
120,270224,1779249385000,270224,1779248408000,270224,1779247474000
125,283136,1779249400000,283136,1779248425000,283136,1779247489000
130,294752,1779249417000,294752,1779248440000,294752,1779247504000
135,306128,1779249434000,306128,1779248454000,306128,1779247518000
140,316848,1779249450000,316848,1779248469000,316848,1779247535000
145,327440,1779249465000,327440,1779248483000,327440,1779247550000
150,338592,1779249482000,338592,1779248501000,338592,1779247565000
155,349776,1779249498000,349776,1779248517000,349776,1779247581000
160,361312,1779249514000,361312,1779248532000,361312,1779247597000
165,371264,1779249530000,371264,1779248547000,371264,1779247612000
170,380800,1779249545000,380800,1779248560000,380800,1779247624000
175,391440,1779249560000,391440,1779248577000,391440,1779247642000
180,403840,1779249576000,403840,1779248593000,403840,1779247656000
185,414704,1779249592000,414704,1779248610000,414704,1779247671000
190,426256,1779249608000,426256,1779248625000,426256,1779247687000
195,436800,1779249624000,436800,1779248640000,436800,1779247703000
200,448512,1779249641000,448512,1779248656000,448512,1779247718000
205,459328,1779249667000,459328,1779248680000,459328,1779247741000
210,471168,1779249684000,471168,1779248695000,471168,1779247760000
215,482256,1779249700000,482256,1779248710000,482256,1779247776000
220,492960,1779249716000,492960,1779248729000,492960,1779247792000
225,504112,1779249733000,504112,1779248747000,504112,1779247808000
230,515920,1779249749000,515920,1779248764000,515920,1779247825000
235,526768,1779249765000,526768,1779248781000,526768,1779247842000
240,538640,1779249780000,538640,1779248796000,538640,1779247859000
245,550192,1779249796000,550192,1779248812000,550192,1779247877000
250,561616,1779249812000,561616,1779248828000,561616,1779247894000
255,571344,1779249826000,571344,1779248842000,571344,1779247907000
